id,age_group,lodged,granted,refused,grant_rate
1,Not Specified,8,0,8,0.0
2,45 to 49 years,394,257,137,65.23
3,10 to 14 years,289,215,74,74.39
4,55 and over,41,29,12,70.73
5,35 to 39 years,4051,3157,894,77.93
6,40 to 44 years,1188,836,352,70.37
7,0 to 4 years,1484,1785,0,120.28
8,50 to 54 years,143,79,64,55.24
9,15 to 19 years,31190,19126,12064,61.32
10,20 to 24 years,64150,44361,19789,69.15
11,5 to 9 years,614,488,126,79.48
12,30 to 34 years,15303,12065,3238,78.84
13,25 to 29 years,46457,37146,9311,79.96
