id,year_month,sector,lodged,granted,grant_rate
1,2022-07,Foreign Affairs or Defence Sector,4,4,100.0
2,2022-07,Higher Education Sector,3302,3286,99.52
3,2022-07,Independent ELICOS Sector,11,10,90.91
4,2022-07,Postgraduate Research Sector,28,12,42.86
5,2022-07,Vocational Education and Training Sector,1290,403,31.24
6,2022-08,Foreign Affairs or Defence Sector,9,6,66.67
7,2022-08,Higher Education Sector,3061,1535,50.15
8,2022-08,Independent ELICOS Sector,15,3,20.0
9,2022-08,Postgraduate Research Sector,17,16,94.12
10,2022-08,Schools Sector,2,0,0.0
11,2022-08,Vocational Education and Training Sector,1088,271,24.91
12,2022-09,Foreign Affairs or Defence Sector,0,1,
13,2022-09,Higher Education Sector,1914,365,19.07
14,2022-09,Independent ELICOS Sector,12,0,0.0
15,2022-09,Postgraduate Research Sector,27,7,25.93
16,2022-09,Schools Sector,1,0,0.0
17,2022-09,Vocational Education and Training Sector,721,440,61.03
18,2022-10,Foreign Affairs or Defence Sector,3,7,233.33
19,2022-10,Higher Education Sector,1115,978,87.71
20,2022-10,Independent ELICOS Sector,9,2,22.22
21,2022-10,Postgraduate Research Sector,22,27,122.73
22,2022-10,Schools Sector,3,0,0.0
23,2022-10,Vocational Education and Training Sector,378,268,70.9
24,2022-11,Foreign Affairs or Defence Sector,13,1,7.69
25,2022-11,Higher Education Sector,1712,3183,185.92
26,2022-11,Independent ELICOS Sector,23,13,56.52
27,2022-11,Postgraduate Research Sector,43,78,181.4
28,2022-11,Schools Sector,2,0,0.0
29,2022-11,Vocational Education and Training Sector,572,1162,203.15
30,2022-12,Foreign Affairs or Defence Sector,3,20,666.67
31,2022-12,Higher Education Sector,2147,5249,244.48
32,2022-12,Independent ELICOS Sector,31,137,441.94
33,2022-12,Postgraduate Research Sector,31,124,400.0
34,2022-12,Schools Sector,1,3,300.0
35,2022-12,Vocational Education and Training Sector,795,4004,503.65
36,2023-01,Foreign Affairs or Defence Sector,2,0,0.0
37,2023-01,Higher Education Sector,3341,2228,66.69
38,2023-01,Independent ELICOS Sector,15,15,100.0
39,2023-01,Postgraduate Research Sector,38,32,84.21
40,2023-01,Schools Sector,0,1,
41,2023-01,Vocational Education and Training Sector,700,384,54.86
42,2023-02,Foreign Affairs or Defence Sector,13,6,46.15
43,2023-02,Higher Education Sector,4371,2838,64.93
44,2023-02,Independent ELICOS Sector,14,7,50.0
45,2023-02,Postgraduate Research Sector,32,42,131.25
46,2023-02,Schools Sector,1,1,100.0
47,2023-02,Vocational Education and Training Sector,817,304,37.21
48,2023-03,Foreign Affairs or Defence Sector,12,17,141.67
49,2023-03,Higher Education Sector,3962,3178,80.21
50,2023-03,Independent ELICOS Sector,30,4,13.33
51,2023-03,Postgraduate Research Sector,23,29,126.09
52,2023-03,Schools Sector,1,1,100.0
