financial_year,lodged,granted,refused,grant_rate,refusal_rate
2005-06,1652,1110,112,90.83,9.17
2006-07,7152,4990,233,95.54,4.46
2007-08,10837,10258,771,93.01,6.99
2008-09,18377,13995,3106,81.84,18.16
2009-10,7342,6073,2551,70.42,29.58
2010-11,10762,8830,898,90.77,9.23
2011-12,8143,6840,1526,81.76,18.24
2012-13,9162,7112,1178,85.79,14.21
2013-14,12486,10651,502,95.5,4.5
2014-15,10974,8987,969,90.27,9.73
2015-16,12702,10655,1422,88.23,11.77
2016-17,23091,18507,3032,85.92,14.08
2017-18,31157,26579,4418,85.75,14.25
2018-19,43190,31799,7808,80.29,19.71
2019-20,30599,24445,4846,83.46,16.54
2020-21,25001,20585,1871,91.67,8.33
2021-22,46282,30667,4258,87.81,12.19
2022-23,47332,40731,17743,69.66,30.34
2023-24,41955,19397,9446,67.25,32.75
2024-25,37848,31869,7473,81.01,18.99
2025-26 to 31 May 2026,41001,29240,14039,67.56,32.44
