year_month,lodged,granted,grant_rate,refusal_rate,cal_month,month_name,rolling_3m
2005-07,108,99,94.29,5.71,7,July,94.29
2005-08,105,78,84.78,15.22,8,August,89.54
2005-09,96,60,90.91,9.09,9,September,89.99
2005-10,55,73,90.12,9.88,10,October,88.6
2005-11,91,72,87.8,12.2,11,November,89.61
2005-12,186,43,91.49,8.51,12,December,89.8
2006-01,152,139,92.67,7.33,1,January,90.65
2006-02,132,139,89.68,10.32,2,February,91.28
2006-03,181,70,90.91,9.09,3,March,91.09
2006-04,76,123,93.18,6.82,4,April,91.26
2006-05,269,132,92.96,7.04,5,May,92.35
2006-06,201,82,88.17,11.83,6,June,91.44
2006-07,194,192,97.96,2.04,7,July,93.03
2006-08,342,183,91.96,8.04,8,August,92.7
2006-09,349,323,95.56,4.44,9,September,95.16
2006-10,222,214,91.06,8.94,10,October,92.86
2006-11,433,351,98.04,1.96,11,November,94.89
2006-12,746,260,92.86,7.14,12,December,93.99
2007-01,680,636,97.25,2.75,1,January,96.05
2007-02,604,732,99.05,0.95,2,February,96.39
2007-03,685,633,98.6,1.4,3,March,98.3
2007-04,960,356,95.7,4.3,4,April,97.78
2007-05,1123,309,91.69,8.31,5,May,95.33
2007-06,814,801,91.75,8.25,6,June,93.05
2007-07,898,1093,94.55,5.45,7,July,92.66
2007-08,843,547,89.67,10.33,8,August,91.99
2007-09,739,492,90.44,9.56,9,September,91.55
2007-10,574,641,98.31,1.69,10,October,92.81
2007-11,680,820,84.8,15.2,11,November,91.18
2007-12,869,787,96.8,3.2,12,December,93.3
2008-01,656,973,94.93,5.07,1,January,92.18
2008-02,769,957,91.67,8.33,2,February,94.47
2008-03,1061,741,89.82,10.18,3,March,92.14
2008-04,1026,996,92.48,7.52,4,April,91.32
2008-05,1425,1142,93.38,6.62,5,May,91.89
2008-06,1297,1069,97.8,2.2,6,June,94.55
2008-07,1364,1097,94.16,5.84,7,July,95.11
2008-08,2083,1219,93.55,6.45,8,August,95.17
2008-09,2094,1288,95.06,4.94,9,September,94.26
2008-10,1457,1300,96.73,3.27,10,October,95.11
2008-11,2426,1156,92.26,7.74,11,November,94.68
2008-12,2745,1273,92.31,7.69,12,December,93.77
2009-01,2497,1351,84.65,15.35,1,January,89.74
2009-02,795,863,85.19,14.81,2,February,87.38
2009-03,785,1003,73.86,26.14,3,March,81.23
2009-04,614,1081,62.41,37.59,4,April,73.82
2009-05,791,941,55.55,44.45,5,May,63.94
2009-06,726,1423,74.54,25.46,6,June,64.17
2009-07,660,854,70.06,29.94,7,July,66.72
2009-08,814,336,41.64,58.36,8,August,62.08
2009-09,742,512,58.99,41.01,9,September,56.9
2009-10,447,458,63.52,36.48,10,October,54.72
2009-11,560,433,62.66,37.34,11,November,61.72
2009-12,480,394,70.86,29.14,12,December,65.68
2010-01,242,387,64.39,35.61,1,January,65.97
2010-02,520,346,73.0,27.0,2,February,69.42
2010-03,1193,617,93.91,6.09,3,March,77.1
2010-04,468,620,82.78,17.22,4,April,83.23
2010-05,656,500,88.65,11.35,5,May,88.45
2010-06,560,616,85.91,14.09,6,June,85.78
2010-07,563,467,82.07,17.93,7,July,85.54
2010-08,1061,455,80.53,19.47,8,August,82.84
2010-09,674,660,86.73,13.27,9,September,83.11
2010-10,653,630,88.11,11.89,10,October,85.12
2010-11,1047,837,91.88,8.12,11,November,88.91
2010-12,613,779,91.65,8.35,12,December,90.55
2011-01,412,562,91.09,8.91,1,January,91.54
2011-02,970,505,88.91,11.09,2,February,90.55
2011-03,2156,904,93.97,6.03,3,March,91.32
2011-04,474,906,93.6,6.4,4,April,92.16
2011-05,1120,1031,96.09,3.91,5,May,94.55
2011-06,1019,1094,93.58,6.42,6,June,94.42
2011-07,680,792,92.31,7.69,7,July,93.99
2011-08,1141,754,92.63,7.37,8,August,92.84
2011-09,719,793,90.42,9.58,9,September,91.79
2011-10,427,685,89.54,10.46,10,October,90.86
2011-11,520,615,86.99,13.01,11,November,88.98
2011-12,583,416,84.73,15.27,12,December,87.09
2012-01,611,543,85.92,14.08,1,January,85.88
2012-02,556,473,71.13,28.87,2,February,80.59
2012-03,904,402,69.31,30.69,3,March,75.45
2012-04,414,519,72.18,27.82,4,April,70.87
2012-05,598,491,81.02,18.98,5,May,74.17
2012-06,990,357,54.75,45.25,6,June,69.32
2012-07,641,538,60.52,39.48,7,July,65.43
2012-08,702,414,81.02,18.98,8,August,65.43
2012-09,948,492,74.21,25.79,9,September,71.92
2012-10,419,777,88.0,12.0,10,October,81.08
2012-11,478,580,89.09,10.91,11,November,83.77
2012-12,531,384,88.48,11.52,12,December,88.52
2013-01,735,497,87.5,12.5,1,January,88.36
2013-02,764,786,95.97,4.03,2,February,90.65
2013-03,1111,739,94.74,5.26,3,March,92.74
2013-04,712,610,91.45,8.55,4,April,94.05
2013-05,982,558,88.15,11.85,5,May,91.45
2013-06,1139,737,93.06,6.94,6,June,90.89
2013-07,643,1364,96.81,3.19,7,July,92.67
2013-08,989,674,95.47,4.53,8,August,95.11
2013-09,1370,869,96.23,3.77,9,September,96.17
2013-10,829,1261,96.48,3.52,10,October,96.06
2013-11,672,679,95.5,4.5,11,November,96.07
2013-12,1323,479,91.94,8.06,12,December,94.64
2014-01,1808,1071,96.66,3.34,1,January,94.7
2014-02,1345,1189,97.94,2.06,2,February,95.51
2014-03,1476,769,96.85,3.15,3,March,97.15
2014-04,465,785,93.56,6.44,4,April,96.12
2014-05,601,776,91.62,8.38,5,May,94.01
2014-06,965,735,92.57,7.43,6,June,92.58
2014-07,984,1145,95.66,4.34,7,July,93.28
2014-08,935,595,91.82,8.18,8,August,93.35
2014-09,1223,744,89.1,10.9,9,September,92.19
2014-10,793,887,93.66,6.34,10,October,91.53
2014-11,616,995,88.76,11.24,11,November,90.51
2014-12,913,590,93.21,6.79,12,December,91.88
2015-01,891,640,92.49,7.51,1,January,91.49
2015-02,1031,986,91.89,8.11,2,February,92.53
2015-03,1401,921,92.75,7.25,3,March,92.38
2015-04,600,669,86.1,13.9,4,April,90.25
